""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"SLOPE"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"TCLITT"	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	787.008907712843	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346	906.952750146346
"TCSOMF"	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	2408.94012949606	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902	7093.32148173902
"TCSOMS"	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	51226.7568370968	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756	94764.1677209756
"WCST"	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731	0.557445748616731
"CO2A"	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
"LAT"	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89
"IOMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"NFERTMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"RAINMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"TPLUS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FSINKPMAX0"	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813	0.0915313071342813
"KSINKPMAX"	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616	0.546398563213616
"CBtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CBtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CBtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"FHARVBT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVBT(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVBT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVLT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVLT(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVLT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLTMAX(1)"	0.457613512280207	0.457613512280207	0.457613512280207	0.457613512280207	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.457613512280207	0.457613512280207	0.457613512280207	0.457613512280207	0.457613512280207	0.457613512280207	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.230924117570119	0.230924117570119	0.230924117570119	0.230924117570119	0.230924117570119	0.230924117570119
"FLTMAX(2)"	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
"FLTMAX(3)"	0.3	0.3	0.3	0.3	0.198456420891867	0.198456420891867	0.198456420891867	0.198456420891867	0.37839930748256	0.37839930748256	0.198456420891867	0.198456420891867	0.37839930748256	0.37839930748256	0.37839930748256	0.37839930748256	0.3	0.3	0.3	0.3	0.359309472725723	0.359309472725723	0.254753746181105	0.254753746181105	0.254753746181105	0.254753746181105	0.365013519041558	0.365013519041558	0.365013519041558	0.365013519041558	0.334149802643382	0.334149802643382
"FPT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FPT(2)"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"FPT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FST(1)"	0.403207312052637	0.403207312052637	0.403207312052637	0.403207312052637	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.403207312052637	0.403207312052637	0.403207312052637	0.403207312052637	0.403207312052637	0.403207312052637	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.494614488745526	0.494614488745526	0.494614488745526	0.494614488745526	0.494614488745526	0.494614488745526
"FST(2)"	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
"FST(3)"	0.4	0.4	0.4	0.4	0.293180939431051	0.293180939431051	0.293180939431051	0.293180939431051	0.313584626076209	0.313584626076209	0.293180939431051	0.293180939431051	0.313584626076209	0.313584626076209	0.313584626076209	0.313584626076209	0.4	0.4	0.4	0.4	0.570408105512092	0.570408105512092	0.516208376874374	0.516208376874374	0.516208376874374	0.516208376874374	0.413070662343978	0.413070662343978	0.413070662343978	0.413070662343978	0.532600723576991	0.532600723576991
"FTCLMINT(1)"	0.230041413357316	0.230041413357316	0.230041413357316	0.230041413357316	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.230041413357316	0.230041413357316	0.230041413357316	0.230041413357316	0.230041413357316	0.230041413357316	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.223383099166864	0.223383099166864	0.223383099166864	0.223383099166864	0.223383099166864	0.223383099166864
"FTCLMINT(2)"	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
"FTCLMINT(3)"	0.2	0.2	0.2	0.2	0.208147095801069	0.208147095801069	0.208147095801069	0.208147095801069	0.191923796567083	0.191923796567083	0.208147095801069	0.208147095801069	0.191923796567083	0.191923796567083	0.191923796567083	0.191923796567083	0.2	0.2	0.2	0.2	0.153496012507394	0.153496012507394	0.272646850565693	0.272646850565693	0.272646850565693	0.272646850565693	0.175473476645552	0.175473476645552	0.175473476645552	0.175473476645552	0.239505443736307	0.239505443736307
"FWT(1)"	0.65295330004914	0.65295330004914	0.65295330004914	0.65295330004914	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.65295330004914	0.65295330004914	0.65295330004914	0.65295330004914	0.65295330004914	0.65295330004914	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.746863780600284	0.746863780600284	0.746863780600284	0.746863780600284	0.746863780600284	0.746863780600284
"FWT(2)"	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
"FWT(3)"	0.7	0.7	0.7	0.7	0.71348290687211	0.71348290687211	0.71348290687211	0.71348290687211	0.766913386787282	0.766913386787282	0.71348290687211	0.71348290687211	0.766913386787282	0.766913386787282	0.766913386787282	0.766913386787282	0.7	0.7	0.7	0.7	0.75876984234122	0.75876984234122	0.617445511135755	0.617445511135755	0.617445511135755	0.617445511135755	0.686353797344241	0.686353797344241	0.686353797344241	0.686353797344241	0.496968776737993	0.496968776737993
"KAC(1)"	7.12265389333853	7.12265389333853	7.12265389333853	7.12265389333853	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	7.12265389333853	7.12265389333853	7.12265389333853	7.12265389333853	7.12265389333853	7.12265389333853	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	6.98171816989723	6.98171816989723	6.98171816989723	6.98171816989723	6.98171816989723	6.98171816989723
"KAC(2)"	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"KAC(3)"	6	6	6	6	6.06647576103644	6.06647576103644	6.06647576103644	6.06647576103644	8.47011101826459	8.47011101826459	6.06647576103644	6.06647576103644	8.47011101826459	8.47011101826459	8.47011101826459	8.47011101826459	6	6	6	6	5.38482087583857	5.38482087583857	6.39882079173778	6.39882079173778	6.39882079173778	6.39882079173778	6.95639769787182	6.95639769787182	6.95639769787182	6.95639769787182	4.87835756804611	4.87835756804611
"KACEXP(1)"	0.610773487738765	0.610773487738765	0.610773487738765	0.610773487738765	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.610773487738765	0.610773487738765	0.610773487738765	0.610773487738765	0.610773487738765	0.610773487738765	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.394346235522573	0.394346235522573	0.394346235522573	0.394346235522573	0.394346235522573	0.394346235522573
"KACEXP(2)"	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
"KACEXP(3)"	0.6	0.6	0.6	0.6	0.873888654032125	0.873888654032125	0.873888654032125	0.873888654032125	0.757337413935376	0.757337413935376	0.873888654032125	0.873888654032125	0.757337413935376	0.757337413935376	0.757337413935376	0.757337413935376	0.6	0.6	0.6	0.6	0.647388295104032	0.647388295104032	0.543693755622748	0.543693755622748	0.543693755622748	0.543693755622748	0.530192605790306	0.530192605790306	0.530192605790306	0.530192605790306	0.419839857776906	0.419839857776906
"KH(1)"	3.73680434851265	3.73680434851265	3.73680434851265	3.73680434851265	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.73680434851265	3.73680434851265	3.73680434851265	3.73680434851265	3.73680434851265	3.73680434851265	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.89497169404787	3.89497169404787	3.89497169404787	3.89497169404787	3.89497169404787	3.89497169404787
"KH(2)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
"KH(3)"	4	4	4	4	3.87603234265538	3.87603234265538	3.87603234265538	3.87603234265538	3.33531516118554	3.33531516118554	3.87603234265538	3.87603234265538	3.33531516118554	3.33531516118554	3.33531516118554	3.33531516118554	4	4	4	4	4.4789837562432	4.4789837562432	5.01957571875918	5.01957571875918	5.01957571875918	5.01957571875918	4.23798465067786	4.23798465067786	4.23798465067786	4.23798465067786	4.02177209948576	4.02177209948576
"KHEXP(1)"	0.3061446904378	0.3061446904378	0.3061446904378	0.3061446904378	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.3061446904378	0.3061446904378	0.3061446904378	0.3061446904378	0.3061446904378	0.3061446904378	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.554031408544636	0.554031408544636	0.554031408544636	0.554031408544636	0.554031408544636	0.554031408544636
"KHEXP(2)"	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
"KHEXP(3)"	0.4	0.4	0.4	0.4	0.385349907228295	0.385349907228295	0.385349907228295	0.385349907228295	0.429501941623309	0.429501941623309	0.385349907228295	0.385349907228295	0.429501941623309	0.429501941623309	0.429501941623309	0.429501941623309	0.4	0.4	0.4	0.4	0.355235677040514	0.355235677040514	0.436055927330853	0.436055927330853	0.436055927330853	0.436055927330853	0.522280387009014	0.522280387009014	0.522280387009014	0.522280387009014	0.534212073515294	0.534212073515294
"KNFIX(1)"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"KNFIX(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KNFIX(3)"	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0.05	0.05	0.05	0.05	0	0
"LAIMAXT(1)"	4.0608541482091	4.0608541482091	4.0608541482091	4.0608541482091	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.0608541482091	4.0608541482091	4.0608541482091	4.0608541482091	4.0608541482091	4.0608541482091	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	5.64352788374456	5.64352788374456	5.64352788374456	5.64352788374456	5.64352788374456	5.64352788374456
"LAIMAXT(2)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"LAIMAXT(3)"	5	5	5	5	5.2106898723684	5.2106898723684	5.2106898723684	5.2106898723684	4.83009854184797	4.83009854184797	5.2106898723684	5.2106898723684	4.83009854184797	4.83009854184797	4.83009854184797	4.83009854184797	5	5	5	5	3.90310435840733	3.90310435840733	4.07092375227454	4.07092375227454	4.07092375227454	4.07092375227454	4.53108953664795	4.53108953664795	4.53108953664795	4.53108953664795	5.20230166350615	5.20230166350615
"LUEMAX(1)"	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.00144364610833889	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.00124258417044812	0.00124258417044812	0.00124258417044812	0.00124258417044812	0.00124258417044812	0.00124258417044812
"LUEMAX(2)"	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
"LUEMAX(3)"	0.001	0.001	0.001	0.001	0.0008764502555364	0.0008764502555364	0.0008764502555364	0.0008764502555364	0.000723250110037801	0.000723250110037801	0.0008764502555364	0.0008764502555364	0.000723250110037801	0.000723250110037801	0.000723250110037801	0.000723250110037801	0.001	0.001	0.001	0.001	0.000969787140841795	0.000969787140841795	0.00128278833643713	0.00128278833643713	0.00128278833643713	0.00128278833643713	0.000895346859861815	0.000895346859861815	0.000895346859861815	0.000895346859861815	0.00170535371904935	0.00170535371904935
"NCLMAXT(1)"	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.0692794366675545	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.0865078259176163	0.0865078259176163	0.0865078259176163	0.0865078259176163	0.0865078259176163	0.0865078259176163
"NCLMAXT(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"NCLMAXT(3)"	0.1	0.1	0.1	0.1	0.108806080028817	0.108806080028817	0.108806080028817	0.108806080028817	0.0917827563320113	0.0917827563320113	0.108806080028817	0.108806080028817	0.0917827563320113	0.0917827563320113	0.0917827563320113	0.0917827563320113	0.1	0.1	0.1	0.1	0.117237045417659	0.117237045417659	0.0952666712800825	0.0952666712800825	0.0952666712800825	0.0952666712800825	0.160491286052915	0.160491286052915	0.160491286052915	0.160491286052915	0.0939949175235807	0.0939949175235807
"SLAT(1)"	53.7784425793359	53.7784425793359	53.7784425793359	53.7784425793359	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	53.7784425793359	53.7784425793359	53.7784425793359	53.7784425793359	53.7784425793359	53.7784425793359	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	52.5042197256309	52.5042197256309	52.5042197256309	52.5042197256309	52.5042197256309	52.5042197256309
"SLAT(2)"	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
"SLAT(3)"	30	30	30	30	30.4603228701332	30.4603228701332	30.4603228701332	30.4603228701332	33.1368363303684	33.1368363303684	30.4603228701332	30.4603228701332	33.1368363303684	33.1368363303684	33.1368363303684	33.1368363303684	30	30	30	30	32.8930556848361	32.8930556848361	25.9680769951208	25.9680769951208	25.9680769951208	25.9680769951208	57.2411683903423	57.2411683903423	57.2411683903423	57.2411683903423	37.9695327474187	37.9695327474187
"TBEFOREPT(1)"	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
"TBEFOREPT(2)"	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
"TBEFOREPT(3)"	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
"TCBT(1)"	1911.94816553757	1911.94816553757	1911.94816553757	1911.94816553757	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	1911.94816553757	1911.94816553757	1911.94816553757	1911.94816553757	1911.94816553757	1911.94816553757	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	1504.96125367151	1504.96125367151	1504.96125367151	1504.96125367151	1504.96125367151	1504.96125367151
"TCBT(2)"	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800
"TCBT(3)"	1800	1800	1800	1800	2056.46176961128	2056.46176961128	2056.46176961128	2056.46176961128	1954.99614777604	1954.99614777604	2056.46176961128	2056.46176961128	1954.99614777604	1954.99614777604	1954.99614777604	1954.99614777604	1800	1800	1800	1800	1859.18956482166	1859.18956482166	1790.90556550296	1790.90556550296	1790.90556550296	1790.90556550296	1413.27289311663	1413.27289311663	1413.27289311663	1413.27289311663	1858.36006720765	1858.36006720765
"TCLMAXT(1)"	910.936259172272	910.936259172272	910.936259172272	910.936259172272	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	910.936259172272	910.936259172272	910.936259172272	910.936259172272	910.936259172272	910.936259172272	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	1136.72924109889	1136.72924109889	1136.72924109889	1136.72924109889	1136.72924109889	1136.72924109889
"TCLMAXT(2)"	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
"TCLMAXT(3)"	650	650	650	650	502.309527890797	502.309527890797	502.309527890797	502.309527890797	627.138937301457	627.138937301457	502.309527890797	502.309527890797	627.138937301457	627.138937301457	627.138937301457	627.138937301457	650	650	650	650	1144.29613191525	1144.29613191525	976.700246152447	976.700246152447	976.700246152447	976.700246152447	409.633766156793	409.633766156793	409.633766156793	409.633766156793	687.488876192451	687.488876192451
"TCRT(1)"	4651.87413888691	4651.87413888691	4651.87413888691	4651.87413888691	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	4651.87413888691	4651.87413888691	4651.87413888691	4651.87413888691	4651.87413888691	4651.87413888691	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	4825.08572272165	4825.08572272165	4825.08572272165	4825.08572272165	4825.08572272165	4825.08572272165
"TCRT(2)"	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500
